archivo;salida;orig_ancho;orig_alto;orig_kb;final_kb;colores;detalle;estado;detalle_error
Piscano.png;D:\Subrutina\convertidas\Piscano.png;1080;1080;725,1;58,2;96;100%;OK;
Pisco Queirolo Macerado_Acholado.png;D:\Subrutina\convertidas\Pisco Queirolo Macerado_Acholado.png;1080;1080;260,7;51,8;256;100%;OK;
Porton Lata.png;D:\Subrutina\convertidas\Porton Lata.png;1080;1080;876,5;54,8;12;100%;OK;
Red Bull.png;D:\Subrutina\convertidas\Red Bull.png;1080;1080;578,4;58,0;24;100%;OK;
Riccadonna Asti.png;D:\Subrutina\convertidas\Riccadonna Asti.png;1080;1080;262,9;56,0;256;100%;OK;
Riccadonna Moscato Rose.png;D:\Subrutina\convertidas\Riccadonna Moscato Rose.png;1080;1080;261,9;58,9;96;100%;OK;
Riccadonna Prosecco.png;D:\Subrutina\convertidas\Riccadonna Prosecco.png;1080;1080;260,3;58,1;256;100%;OK;
Six pack pilsen Laton.png;D:\Subrutina\convertidas\Six pack pilsen Laton.png;1080;1080;698,7;50,9;16;100%;OK;
Six pack pilsen.png;D:\Subrutina\convertidas\Six pack pilsen.png;1080;1080;877,6;53,8;16;100%;OK;
VINO INTIPALKA RESERVA CABERNET_PETIT VERDOT.png;D:\Subrutina\convertidas\VINO INTIPALKA RESERVA CABERNET_PETIT VERDOT.png;1080;1080;172,6;40,9;256;100%;OK;
VINO INTIPALKA RESERVA MALBEC MERLOT.png;D:\Subrutina\convertidas\VINO INTIPALKA RESERVA MALBEC MERLOT.png;1080;1080;123,4;30,2;256;100%;OK;
VINO INTIPALKA RESERVA MALBEC.png;D:\Subrutina\convertidas\VINO INTIPALKA RESERVA MALBEC.png;1080;1080;118,6;57,2;originales;100%;OK;
VINO INTIPALKA VARIETAL SYRAH 750ML_.png;D:\Subrutina\convertidas\VINO INTIPALKA VARIETAL SYRAH 750ML_.png;1080;1080;173,8;38,8;256;100%;OK;
VINO INTIPALKA VARIETAL TANNAT 750ML.png;D:\Subrutina\convertidas\VINO INTIPALKA VARIETAL TANNAT 750ML.png;1080;1080;184,5;39,9;256;100%;OK;
VINO VIÑA VIEJA Lata.png;D:\Subrutina\convertidas\VINO VIÑA VIEJA Lata.png;1080;1080;1091,5;59,3;8;100%;OK;
Vodka Absolut Lime.png;D:\Subrutina\convertidas\Vodka Absolut Lime.png;1080;1080;331,8;49,1;64;100%;OK;
Vodka Absolut Mandarin.png;D:\Subrutina\convertidas\Vodka Absolut Mandarin.png;1080;1080;298,0;59,3;256;100%;OK;
Vodka Absolut Pears.png;D:\Subrutina\convertidas\Vodka Absolut Pears.png;1080;1080;314,1;59,8;96;100%;OK;
Vodka Absolut Raspberri.png;D:\Subrutina\convertidas\Vodka Absolut Raspberri.png;1080;1080;383,8;49,2;64;100%;OK;
Vodka Absolut normal.png;D:\Subrutina\convertidas\Vodka Absolut normal.png;1080;1080;306,2;49,6;48;100%;OK;
Vodka Skyy 1Lt.png;D:\Subrutina\convertidas\Vodka Skyy 1Lt.png;1080;1080;180,6;35,0;256;100%;OK;
Vodka Smirnoff Apple 700ML.png;D:\Subrutina\convertidas\Vodka Smirnoff Apple 700ML.png;1080;1080;271,4;58,4;256;100%;OK;
Vodka Smirnoff Blue 700ML.png;D:\Subrutina\convertidas\Vodka Smirnoff Blue 700ML.png;1080;1080;341,9;52,9;96;100%;OK;
Vodka Smirnoff Red 700ML.png;D:\Subrutina\convertidas\Vodka Smirnoff Red 700ML.png;1080;1080;284,5;52,9;64;100%;OK;
Whisky Grand Old Parr.png;D:\Subrutina\convertidas\Whisky Grand Old Parr.png;1080;1080;623,1;56,4;12;100%;OK;
Whisky JW Doble black Label 750ML.png;D:\Subrutina\convertidas\Whisky JW Doble black Label 750ML.png;1080;1080;294,9;51,6;64;100%;OK;
Whisky JW Red Label 750ML.png;D:\Subrutina\convertidas\Whisky JW Red Label 750ML.png;1080;1080;398,2;46,1;64;100%;OK;
Whisky JW black Label 750ML.png;D:\Subrutina\convertidas\Whisky JW black Label 750ML.png;1080;1080;307,4;48,5;64;100%;OK;
Whisky Jack Daniel's Apple.png;D:\Subrutina\convertidas\Whisky Jack Daniel's Apple.png;1080;1080;389,0;48,5;64;100%;OK;
Whisky Jack Daniel's Fire.png;D:\Subrutina\convertidas\Whisky Jack Daniel's Fire.png;1080;1080;429,3;46,1;64;100%;OK;
Whisky Jack Daniel's Tradicional.png;D:\Subrutina\convertidas\Whisky Jack Daniel's Tradicional.png;1080;1080;329,2;40,9;64;100%;OK;
Whisky Something Special x 750.png;D:\Subrutina\convertidas\Whisky Something Special x 750.png;1080;1080;440,3;43,9;64;100%;OK;
barcelo gran añejo x 1.75 lits.png;D:\Subrutina\convertidas\barcelo gran añejo x 1.75 lits.png;1080;1080;417,2;43,9;48;100%;OK;
schweppes citrus.png;D:\Subrutina\convertidas\schweppes citrus.png;1080;1080;215,9;46,0;256;100%;OK;
tabernero sour Limon copia.png;D:\Subrutina\convertidas\tabernero sour Limon copia.png;1080;1080;939,0;57,6;12;100%;OK;
tabernero sour.png;D:\Subrutina\convertidas\tabernero sour.png;1080;1080;636,2;59,0;12;100%;OK;
tequila Don julio Blanco_.png;D:\Subrutina\convertidas\tequila Don julio Blanco_.png;1080;1080;623,0;57,2;96;100%;OK;
twelve pack pilsen Laton.png;D:\Subrutina\convertidas\twelve pack pilsen Laton.png;1080;1080;750,2;59,9;32;100%;OK;
twelve pack pilsen.png;D:\Subrutina\convertidas\twelve pack pilsen.png;1080;1080;848,1;58,5;24;100%;OK;
